x_start,y_start,x_end,y_end,ctrl_x,ctrl_y,type,color,end_color,color_type,gradient_position,width,alpha,arrow,arrow_type,arrow_size,lavaan
-44.37157288,2.121572875,-37.22842712,-5.021572875,NA,NA,Lavaan,#000000,#000000,Single,NA,1.5,1,TRUE,open,0.2,TRUE
-34.4,0.95,-34.4,-3.85,NA,NA,Lavaan,#000000,#000000,Single,NA,1.5,1,TRUE,open,0.2,TRUE
-24.42842712,2.121572875,-31.57157288,-5.021572875,NA,NA,Lavaan,#000000,#000000,Single,NA,1.5,1,TRUE,open,0.2,TRUE
-5.971572875,2.121572875,1.171572875,-5.021572875,NA,NA,Lavaan,#000000,#000000,Single,NA,1.5,1,TRUE,open,0.2,TRUE
4,0.95,4,-3.85,NA,NA,Lavaan,#000000,#000000,Single,NA,1.5,1,TRUE,open,0.2,TRUE
13.97157288,2.121572875,6.828427125,-5.021572875,NA,NA,Lavaan,#000000,#000000,Single,NA,1.5,1,TRUE,open,0.2,TRUE
32.42842712,2.121572875,39.57157288,-5.021572875,NA,NA,Lavaan,#000000,#000000,Single,NA,1.5,1,TRUE,open,0.2,TRUE
42.4,0.95,42.4,-3.85,NA,NA,Lavaan,#000000,#000000,Single,NA,1.5,1,TRUE,open,0.2,TRUE
52.37157288,2.121572875,45.22842712,-5.021572875,NA,NA,Lavaan,#000000,#000000,Single,NA,1.5,1,TRUE,open,0.2,TRUE
